,CON,0
369,100.0,31.11507
370,5.0,21.542599
371,5.0,35.713337
372,95.0,28.5738
373,100.0,36.577423
374,5.0,34.622646
375,5.0,24.456797
376,5.0,26.185541
377,5.0,26.34969
378,5.0,33.45875
379,5.0,23.144033
380,85.0,31.573078
381,5.0,32.600624
382,5.0,32.1278
383,5.0,27.674257
384,5.0,24.555708
385,95.0,20.644213
386,100.0,38.089687
387,5.0,25.662958
388,5.0,22.346148
389,80.0,25.099808
390,5.0,25.581263
391,5.0,25.086594
392,5.0,19.644932
393,95.0,27.941393
394,80.0,36.22069
395,80.0,34.996
396,5.0,36.728336
397,5.0,30.422487
398,95.0,39.684525
399,100.0,38.040768
400,90.0,25.742083
401,80.0,26.834738
402,5.0,20.70188
403,5.0,25.614458
404,5.0,24.636282
405,5.0,29.46437
406,5.0,43.249172
407,5.0,14.086971
408,80.0,47.187283
